label,leftPaddle_y,rightPaddle_y,ball_x,ball_y,ball_dx,ball_dy,ball_x_prev,ball_y_prev,user
stop,327.81,0,245.332856,262.327432,-201.876,201.876,254.995256,252.6466,joey
down,327.81,0,214.21248,293.5112,-203.108,203.108,225.14532,282.555032,joey
stop,377.508,0,163.081528,344.743312,-205.116,205.116,174.1228,333.678712,joey
up,377.508,0,209.364032,238.64084,218.276,-218.276,198.460232,249.52464,joey
stop,179.508,0,431.640032,17,226.276,226.276,420.336232,28.049392,joey
down,179.508,0,512.243,97.602968,229.108,229.108,500.7976,86.157568,joey
stop,347.016,0,44.625,264.166186,159.5,159.5,36.66,256.201186,joey
down,347.016,0,84.75,304.291186,161.5,161.5,77.4906,297.031786,joey
stop,408,0,141.765,361.306186,164.3,164.3,133.396104,352.93729,joey
up,408,0,174.785,394.326186,165.9,165.9,166.5,386.041186,joey
stop,348.402,0,225.083304,444.62449,168.308,168.308,216.51,436.051186,joey
up,348.402,0,250.419504,463,169.508,-169.508,241.785,461.326186,joey
stop,289.2,0,301.46,412.078856,171.9,-171.9,293.046504,420.473144,joey
up,289.2,0,336,377.618856,173.5,-173.5,327.335,386.263856,joey
stop,259.302,0,362.289704,351.39012,174.708,-174.708,353.738616,359.922,joey
up,259.302,0,388.41,325.329032,175.9,-175.9,379.800504,333.91932,joey
stop,229.206,0,415.239216,298.561448,177.116,-177.116,406.04,307.739032,joey
up,229.206,0,432.990816,280.849864,177.916,-177.916,423.927504,289.892368,joey
stop,179.904,0,477.539904,236.400016,179.908,-179.908,468.554504,245.365416,joey
up,179.904,0,495.39,218.58916,180.7,-180.7,486.725616,227.235112,joey
stop,160.104,0,513.5,200.519176,181.5,-181.5,504.616104,209.383864,joey
up,160.104,0,550.143104,163.956896,183.108,-183.108,540.815,173.264192,joey
stop,130.602,0,577.515,136.644208,184.3,-184.3,568.31,145.829208,joey
up,130.602,0,605.435504,108.784544,185.508,-185.508,596.170104,118.029944,joey
stop,90.606,0,603.811136,80.824842,-187.124,-93.974,613.695,85.771756,joey
down,90.606,0,481.325768,18.607524,-192.3,-99.15,490.719656,23.437062,joey
stop,140.304,0,432.907416,37.171154,-194.308,101.158,442.592816,32.123254,joey
down,140.304,0,394.160992,57.46,-195.9,102.75,403.536544,52.537216,joey
stop,170.202,0,364.549792,73.066454,-197.108,103.958,373.983328,68.085686,joey
down,170.202,0,264.795816,126.261386,-201.124,107.974,275.221816,120.657554,joey
stop,219.702,0,214.365136,153.504886,-203.124,109.974,224.895136,147.797054,joey
down,219.702,0,91.705256,220.699754,-207.908,114.758,102.484024,214.743154,joey
stop,269.202,0,39.578416,249.639254,-209.908,116.758,50.252512,243.695,joey
down,269.202,0,490.2066,255.54457,-164.708,164.708,498.575496,247.154866,joey
stop,318.9,0,448.714,297.138282,-166.716,166.716,457.51624,288.31357,joey
down,318.9,0,381.716992,364.29477,-169.908,169.908,390.51976,355.47037,joey
stop,377.706,0,331.019536,415.110282,-172.284,172.284,338.748016,407.365602,joey
up,377.706,0,287.625296,458.60557,-174.292,174.292,296.482976,449.727082,joey
stop,308.01,0,225.92056,409.999864,-177.108,-177.108,234.921856,419.00116,joey
up,308.01,0,182.028504,366.107808,-179.084,-179.084,190.774808,374.854112,joey
stop,199.11,0,82.542864,266.622168,-183.484,-183.484,91.687064,275.766368,joey
up,199.11,0,54.9906,239.069904,-184.684,-184.684,64.011304,248.090608,joey
stop,159.51,0,17.973816,202.05312,-186.284,-186.284,27.258016,211.33732,joey
down,159.51,0,275.9508,94.38524,197.492,197.492,266.0862,84.52064,joey
stop,228.81,0,345.563,163.99744,200.292,200.292,335.5584,153.99284,joey
down,228.81,0,385.579512,204.013952,201.884,201.884,375.6968,194.13124,joey
stop,288.408,0,446.709,265.14344,204.292,204.292,436.5044,254.93884,joey
down,288.408,0,487.933296,306.367736,205.9,205.9,477.4428,295.87724,joey
stop,328.008,0,529.273296,347.707736,207.5,207.5,518.7012,337.13564,joey
down,328.008,0,581.398296,399.832736,209.5,209.5,570.7242,389.15864,joey
stop,397.308,0,591.305048,457.815236,-212.3,106.75,602.101136,452.38139,joey
up,397.308,0,527.161264,436.060612,-214.708,-109.158,538.08016,441.596458,joey
stop,308.208,0,429.912696,386.309544,-218.308,-112.758,440.798096,391.917444,joey
up,308.208,0,397.13664,369.365988,-219.508,-113.958,408.08204,375.033888,joey
stop,249.006,0,331.2654,335.054198,-221.9,-116.35,342.3304,340.841698,joey
up,249.006,0,297.950416,317.571714,-223.1,-117.55,308.853504,323.302852,joey
stop,179.706,0,219.51548,276.079278,-225.9,-120.35,230.555768,281.947616,joey
up,179.706,0,139.872616,233.484464,-228.708,-123.158,151.505512,239.73431,joey
stop,120.306,0,71.020376,196.297224,-231.108,-125.558,82.545776,202.545124,joey
down,120.306,0,206.285912,60.338378,239.516,-133.966,194.081,67.139432,joey
stop,169.212,0,265.6904,27.10238,241.492,-135.942,254.108,33.599948,joey
down,169.212,0,388.172912,72.483162,245.516,139.966,375.907112,65.494862,joey
stop,218.91,0,450.049432,107.866632,247.524,141.974,437.189,100.4948,joey
down,218.91,0,574.811432,179.853632,251.524,145.974,561.994112,172.419362,joey
stop,248.412,0,612.377312,201.692562,252.716,147.166,598.9946,193.904,joey
down,248.412,0,571.54004,238.734062,-254.716,149.166,584.499344,231.137,joey
stop,327.81,0,468.916656,299.192832,-257.924,152.374,482.039568,291.432162,joey
down,327.81,0,430.198312,322.138932,-259.124,153.574,444.156016,313.8576,joey
stop,367.212,0,378.553648,352.858562,-260.716,155.166,391.818952,344.9555,joey
down,367.212,0,326.069256,384.208532,-262.324,156.774,339.155456,376.379832,joey
stop,408,0,260.338592,423.652032,-264.324,158.774,273.524792,415.723332,joey
up,408,0,180.80168,454.491486,-266.724,-161.174,194.904344,463,joey
stop,379.29,0,142.098816,431.093372,-267.884,-162.334,155.19632,439.018926,joey
up,379.29,0,100.81308,406.062336,-269.116,-163.566,114.774664,414.53532,joey
stop,329.79,0,33.384336,365.021092,-271.116,-165.566,47.719776,373.762382,joey
up,329.79,0,139.345688,273.47771,275.492,-169.942,125.581088,281.94481,joey
stop,220.692,0,292.356184,178.84644,279.9,-174.35,278.091688,187.707078,joey
up,220.692,0,349.0592,143.546268,281.516,-175.966,334.150088,152.838758,joey
stop,132.384,0,475.411,64.446808,285.084,-179.534,462.020888,72.858398,joey
down,132.384,0,565.020112,99.6875,-291.1,185.55,578.965264,90.790316,joey
stop,181.884,0,492.095352,146.325,-293.1,187.55,506.42844,137.144654,joey
down,181.884,0,463.078456,164.931654,-293.892,188.342,477.450352,155.7125,joey
stop,281.676,0,314.144696,260.872086,-297.924,192.374,330.1976,250.495554,joey
down,281.676,0,270.321312,289.2375,-299.1,193.55,284.9484,279.763154,joey
stop,370.776,0,135.09652,377.145,-302.7,197.15,149.900008,367.494254,joey
down,370.776,0,89.35844,407.005854,-303.908,198.358,104.826536,396.9,joey
stop,408,0,46.711488,463,306.692,-100.959,31.386888,461.763153,joey
up,408,0,389.228184,347.436881,315.5,-109.767,374.0934,352.678049,joey
stop,377.904,0,437.2766,330.721561,316.716,-110.983,421.4508,336.240711,joey
up,377.904,0,499.824888,308.780442,318.292,-112.559,483.920288,314.378392,joey
stop,288.606,0,606.614312,257.383921,-321.9,-116.167,623,263.277226,joey
up,288.606,0,542.477112,234.187588,-323.492,-117.759,557.97708,239.812372,joey
stop,159.312,0,329.794104,155.848229,-328.716,-122.983,345.872376,161.845584,joey
up,159.312,0,264.959504,131.54303,-330.292,-124.559,281.115,137.617609,joey
stop,109.812,0,182.236616,100.253392,-332.292,-126.559,199.152296,106.676689,joey
