,label,leftPaddle_y,ball_x,ball_y,ball_dx,ball_dy,ball_x_prev,ball_y_prev,user
138,down,140.7,309.496048,75.613024,-222.7,-222.7,320.822536,86.939512,ion
139,up,121.098,287.448848,53.565824,-223.49200000000002,-223.49200000000002,299.037984,65.15496,joey
140,down,121.098,287.448848,53.565824,-223.49200000000002,-223.49200000000002,299.037984,65.15496,ion
141,up,101.29799999999999,265.099664,31.21664,-224.292,-224.292,276.06116000000003,42.178136,joey
142,stop,91.00200000000001,253.447296,19.564272,-224.708,-224.708,265.099664,31.21664,joey
143,down,91.00200000000001,219.936208,39.55,-225.9,225.9,231.201208,28.265,joey
144,up,91.00200000000001,219.936208,39.55,-225.9,225.9,231.201208,28.265,ion
145,stop,170.4,128.868008,130.779104,-229.108,229.108,140.52130400000001,119.105,joey
146,up,170.4,128.868008,130.779104,-229.108,229.108,140.52130400000001,119.105,ion
147,down,170.4,106.18632,153.5,-229.9,229.9,117.65132,142.015,joey
148,down,170.4,106.18632,153.5,-229.9,229.9,117.65132,142.015,ion
149,stop,259.5,2.101352,227.674166,-233.5,-350.05400000000003,13.51404,244.798,joey
150,down,259.5,2.101352,227.674166,-233.5,-350.05400000000003,13.51404,244.798,ion
151,down,259.5,481.65216799999996,238.0975051,-165.12400000000002,165.12400000000002,489.87836799999997,229.8513051,joey
152,stop,318.9,431.875016,287.99470510000003,-167.524,167.524,440.221216,279.62850510000004,joey
153,stop,318.9,431.875016,287.99470510000003,-167.524,167.524,440.221216,279.62850510000004,ion
154,up,318.9,305.14597599999996,415.02018510000005,-173.484,173.484,313.44556,406.7021691,joey
155,stop,269.004,261.275736,458.99216910000007,-175.5,175.5,269.497728,450.7525051,joey
156,up,269.004,261.275736,458.99216910000007,-175.5,175.5,269.497728,450.7525051,ion
157,up,269.004,190.417968,400.732128,-178.708,-178.708,199.50086399999998,409.815024,joey
158,stop,249.204,172.547168,382.86132799999996,-179.50799999999998,-179.50799999999998,181.492568,391.80672799999996,joey
159,up,249.204,172.547168,382.86132799999996,-179.50799999999998,-179.50799999999998,181.492568,391.80672799999996,ion
160,up,249.204,136.74600800000002,347.06016800000003,-181.1,-181.1,145.771008,356.085168,joey
161,up,249.204,136.74600800000002,347.06016800000003,-181.1,-181.1,145.771008,356.085168,ion
162,stop,199.90200000000002,91.5036,301.81776,-183.092,-183.092,100.08241600000001,310.396576,joey
163,up,199.90200000000002,36.151424,246.46558399999998,-185.5,-185.5,44.843416,255.15757599999998,joey
164,stop,160.5,26.157904000000002,214.046054,187.092,-93.742,17.0,218.6106,joey
165,stop,160.5,26.157904000000002,214.046054,187.092,-93.742,17.0,218.6106,ion
166,down,160.5,326.159504,59.545974,199.50799999999998,-106.15799999999999,315.795904,65.033742,joey
167,up,160.5,326.159504,59.545974,199.50799999999998,-106.15799999999999,315.795904,65.033742,ion
168,stop,190.002,355.975,43.698868,200.7,-107.35,345.95,49.036367999999996,joey
169,down,190.002,355.975,43.698868,200.7,-107.35,345.95,49.036367999999996,ion
170,up,190.002,183.09,340.666264,166.3,-166.3,174.619104,349.116352,joey
171,stop,190.002,183.09,340.666264,166.3,-166.3,174.619104,349.116352,ion
172,stop,150.006,216.845816,306.992128,167.916,-167.916,207.957504,315.857968,joey
