label,leftPaddle_y,ball_x,ball_y,ball_dx,ball_dy,ball_x_prev,ball_y_prev
up,338.89799999999997,235.00012000000035,412.37407999999994,-202.30799999999965,-202.30799999999965,245.28661600000035,422.66057599999993
up,229.99800000000002,122.74091200000053,300.114872,-206.70799999999963,-206.70799999999963,133.0463120000005,310.420272
up,210.00000000000003,101.86350400000056,279.237464,-207.51599999999962,-207.51599999999962,112.82814400000055,290.20210399999996
up,190.00200000000004,80.9044240000006,258.278384,-208.32399999999961,-208.32399999999961,91.70482400000057,269.07878400000004
up,180.49800000000005,70.91408800000062,248.28804800000003,-208.7079999999996,-208.7079999999996,80.9044240000006,258.278384
up,160.89600000000004,50.252000000000656,227.62596000000005,-209.4999999999996,-209.4999999999996,60.69700000000064,238.07096000000004
stop,151.19400000000005,39.99610400000068,217.37006400000007,-209.8919999999996,-209.8919999999996,50.252000000000656,227.62596000000005
down,151.19400000000005,275.8593039999994,104.41930399999983,220.69199999999958,220.69199999999958,265.93626399999937,94.49626399999985
down,270.192,409.9399999999991,238.49999999999952,225.49999999999952,225.49999999999952,399.3503359999991,227.91033599999955
down,280.884,422.12866399999905,250.68866399999948,225.9319999999995,225.9319999999995,409.9399999999991,238.49999999999952
down,299.694,443.62830399999893,272.1883039999994,226.6919999999995,226.6919999999995,432.756303999999,261.31630399999943
down,320.088,467.02001599999886,295.5800159999993,227.51599999999948,227.51599999999948,455.4271039999989,283.98710399999936
down,329.59200000000004,477.9499999999988,306.50999999999925,227.89999999999947,227.89999999999947,467.02001599999886,295.5800159999993
down,349.392,500.7799999999987,329.3399999999992,228.69999999999948,228.69999999999948,489.35499999999877,317.9149999999992
down,369.58799999999997,524.1490159999986,352.70901599999905,229.51599999999948,229.51599999999948,512.6832159999987,341.2432159999991
stop,379.48799999999994,535.6348159999985,364.19481599999904,229.91599999999949,229.91599999999949,524.1490159999986,352.70901599999905
up,379.48799999999994,505.16997600000036,357.0484880000002,-237.1319999999994,-237.1319999999994,516.9965760000003,368.8750880000002
up,271.3799999999999,374.72105600000066,226.5995680000005,-241.4999999999994,-241.4999999999994,386.7660560000006,238.64456800000048
up,251.77799999999988,350.81256000000076,202.69107200000053,-242.2919999999994,-242.2919999999994,362.8971600000007,214.77567200000053
up,231.7799999999999,326.34116800000083,178.21968000000058,-243.0999999999994,-243.0999999999994,337.9823200000008,189.86083200000056
up,221.08799999999988,313.22543200000086,165.1039440000006,-243.53199999999939,-243.53199999999939,326.34116800000083,178.21968000000058
up,202.07999999999987,289.8464240000009,141.72493600000067,-244.2999999999994,-244.2999999999994,302.0314240000009,153.90993600000064
up,182.08199999999988,265.17212800000095,117.05064000000071,-245.10799999999938,-245.10799999999938,277.64142400000094,129.51993600000068
up,172.18199999999987,252.92672800000096,104.80524000000075,-245.50799999999938,-245.50799999999938,265.17212800000095,117.05064000000071
up,152.57999999999987,228.62147200000103,80.4999840000008,-246.29999999999936,-246.29999999999936,241.151560000001,93.03007200000077
up,132.77999999999986,203.99147200000107,55.86998400000086,-247.09999999999937,-247.09999999999937,216.31647200000106,68.19498400000083
up,122.48399999999987,191.1530880000011,43.03160000000089,-247.51599999999937,-247.51599999999937,203.99147200000107,55.86998400000086
up,102.48599999999986,166.15407200000118,18.03258400000096,-248.32399999999936,-248.32399999999936,179.28153600000115,31.160048000000923
stop,93.17999999999986,154.49168000000122,17,-248.69999999999936,248.69999999999936,166.15407200000118,18.03258400000096
down,93.17999999999986,91.91688000000137,79.67570399999983,-250.70799999999934,250.70799999999934,104.67177600000134,66.89999999999986
stop,122.68199999999987,54.53192000000147,117.11999999999972,-251.89999999999932,251.89999999999932,66.59547200000144,105.03801599999976
down,122.68199999999987,340.4043119999991,449.350416,263.11599999999925,-263.11599999999925,326.73309599999914,463
stop,181.68599999999986,419.1680959999988,370.70511200000016,265.49999999999926,-265.49999999999926,405.63799999999884,384.2144000000001
down,181.68599999999986,457.82788000000033,72.60249400000096,-276.7319999999991,-140.7779999999996,473.0118400000003,80.30898400000093
stop,200.49599999999987,431.53844000000043,59.22868400000099,-277.4919999999991,-141.5379999999996,445.3830400000004,66.27558400000098
up,200.49599999999987,403.23425600000047,44.79180800000103,-278.30799999999914,-142.3539999999996,417.39675200000045,52.02065000000101
stop,121.69199999999987,291.9925360000008,45.803657999999906,-281.49199999999917,145.53799999999953,305.75683200000077,38.68189999999993
down,121.69199999999987,235.61415200000098,75.07125799999982,-283.09199999999913,147.13799999999952,249.45684800000095,67.87109999999984
stop,161.48999999999987,178.63186400000114,104.80759999999974,-284.6999999999991,148.74599999999953,192.8368640000011,97.38029999999975
down,161.48999999999987,75.0583999999998,226.2092579999992,291.09199999999896,155.1379999999995,61.38591199999985,218.92660799999922
down,270.5879999999999,236.66449599999913,312.90469999999885,295.49999999999886,159.54599999999948,221.8994959999992,304.9373999999989
down,290.5859999999999,266.550799999999,329.0596499999988,296.30799999999886,160.35399999999947,251.15359999999907,320.73205799999886
down,310.18799999999993,295.92449599999884,344.9738999999987,297.0999999999989,161.14599999999945,280.78279999999893,336.76585799999873
down,320.0879999999999,310.7894959999988,353.0411999999987,297.49999999999886,161.54599999999945,295.92449599999884,344.9738999999987
stop,408,36.182736000000006,57.24725250866078,159.076,159.076,28.715,49.77951650866078
up,408,84.427016,105.49153250866077,161.48399999999998,161.48399999999998,76.201736,97.26625250866077
stop,319.09800000000007,157.739736,178.80425250866074,165.076,165.076,149.495936,170.56045250866075
down,319.09800000000007,182.923704,203.98822050866073,166.292,166.292,174.28733599999998,195.35185250866073
